77;4082139;55682;READ;4091.11
77;4082139;55682;CLEANUP;1
77;4082139;55682;UPDATE;4106.74
78;4134494;52355;READ;4185.13
78;4134494;52355;CLEANUP;1.09
78;4134494;52355;UPDATE;4190.9
79;4184848;50354;READ;4165.6
79;4184848;50354;CLEANUP;1
79;4184848;50354;UPDATE;4219.03
80;4234610;49762;READ;4221.46
80;4234610;49762;UPDATE;4204.23
81;4281965;47355;READ;4422.56
81;4281965;47355;UPDATE;4447.97
82;4331676;49711;READ;4218.22
82;4331676;49711;UPDATE;4220.46
83;4381340;49664;READ;4202.85
83;4381340;49664;UPDATE;4246.48
84;4430871;49531;READ;4237.22
84;4430871;49531;UPDATE;4244.7
85;4480159;49288;READ;4228.44
85;4480159;49288;CLEANUP;1
85;4480159;49288;UPDATE;4249.45
86;4528179;48020;READ;4291.69
86;4528179;48020;CLEANUP;1
86;4528179;48020;UPDATE;4296.85
87;4576415;48236;READ;4246.05
87;4576415;48236;UPDATE;4276.6
88;4625013;48598;READ;4230.93
88;4625013;48598;UPDATE;4250.11
89;4673661;48648;READ;4223.68
89;4673661;48648;UPDATE;4234.08
90;4721863;48202;READ;4253.87
90;4721863;48202;UPDATE;4290.72
91;4767753;45890;READ;4484.46
91;4767753;45890;UPDATE;4481.34
92;4816527;48774;READ;4194.71
92;4816527;48774;UPDATE;4249.43
93;4863488;46961;READ;4368.95
93;4863488;46961;UPDATE;4405.29
94;4911843;48355;READ;4236.89
94;4911843;48355;UPDATE;4279.81
95;4960430;48587;READ;4235.41
95;4960430;48587;UPDATE;4231.95
96;5009258;48828;READ;4186.71
96;5009258;48828;UPDATE;4241.97
97;5057991;48733;READ;4209.37
97;5057991;48733;UPDATE;4238.56
98;5106982;48991;READ;4201.9
98;5106982;48991;UPDATE;4202.25
99;5154990;48008;READ;4285.53
99;5154990;48008;UPDATE;4293.51
100;5202839;47849;READ;4314.92
100;5202839;47849;UPDATE;4292.34
101;5248592;45753;READ;4484.05
101;5248592;45753;UPDATE;4510.15
102;5297180;48588;READ;4227.8
102;5297180;48588;UPDATE;4240.84
103;5345842;48662;READ;4217.31
103;5345842;48662;UPDATE;4259.16
104;5394584;48742;READ;4222.54
104;5394584;48742;UPDATE;4220.51
105;5443512;48928;READ;4189.35
105;5443512;48928;UPDATE;4222.9
106;5492176;48664;READ;4215.95
106;5492176;48664;UPDATE;4236.63
107;5540723;48547;READ;4244.16
107;5540723;48547;UPDATE;4247.05
108;5589465;48742;READ;4220.22
108;5589465;48742;UPDATE;4228.58
109;5637868;48403;READ;4245.49
109;5637868;48403;UPDATE;4256.14
110;5686687;48819;READ;4220.2
110;5686687;48819;UPDATE;4208.72
111;5732429;45742;READ;4489.68
111;5732429;45742;UPDATE;4505.22
112;5780866;48437;READ;4226.64
112;5780866;48437;UPDATE;4289.55
113;5829406;48540;READ;4237.53
113;5829406;48540;UPDATE;4244.6
114;5877733;48327;READ;4250.84
114;5877733;48327;UPDATE;4257.62
115;5926095;48362;READ;4254.93
115;5926095;48362;UPDATE;4268.02
116;5974328;48233;READ;4272.97
116;5974328;48233;UPDATE;4260.66
117;6022769;48441;READ;4241.16
117;6022769;48441;UPDATE;4255.17
118;6071446;48677;READ;4231.49
118;6071446;48677;UPDATE;4218.86
119;6120211;48765;READ;4220.15
119;6120211;48765;UPDATE;4227.13
120;6168243;48032;READ;4286.22
120;6168243;48032;UPDATE;4292.43
120;6171112;46274.19;READ;4240.83
120;6171112;46274.19;CLEANUP;0.27
120;6171112;46274.19;UPDATE;4292.06
