6;19867;19867;READ;7820.16
6;19867;19867;UPDATE;9468.81
7;71553;51686;READ;246.47
7;71553;51686;UPDATE;247.3
8;122598;51045;READ;249.17
8;122598;51045;UPDATE;253.33
9;174864;52266;READ;243.6
9;174864;52266;UPDATE;247.89
10;229292;54428;READ;237.19
10;229292;54428;UPDATE;234.78
11;317168;87876;READ;15721.26
11;317168;87876;UPDATE;15757.29
12;441934;124766;READ;1591.31
12;441934;124766;UPDATE;1597.97
13;567002;125068;READ;1582.54
13;567002;125068;UPDATE;1599.53
14;684429;117427;READ;1695.75
14;684429;117427;UPDATE;1691.38
15;786156;101727;READ;1961.52
15;786156;101727;UPDATE;1964.22
16;886702;100546;READ;1981.27
16;886702;100546;UPDATE;1992.35
17;987320;100618;READ;1963.11
17;987320;100618;UPDATE;2001.91
18;1087042;99722;READ;2000.01
18;1087042;99722;UPDATE;2003.71
19;1188312;101270;READ;1958.72
19;1188312;101270;UPDATE;1984.49
20;1289239;100927;READ;1962.67
20;1289239;100927;UPDATE;1995.37
21;1378186;88947;READ;2238.05
21;1378186;88947;CLEANUP;5
21;1378186;88947;UPDATE;2232.39
22;1467595;89409;READ;2215.01
22;1467595;89409;CLEANUP;1
22;1467595;89409;UPDATE;2200.33
23;1537833;70238;READ;2685.56
23;1537833;70238;CLEANUP;0.9
23;1537833;70238;UPDATE;2698.67
24;1603014;65181;READ;2862.02
24;1603014;65181;UPDATE;2866.63
25;1668147;65133;READ;2858.08
25;1668147;65133;UPDATE;2879.28
26;1733184;65037;READ;2860.48
26;1733184;65037;UPDATE;2880.28
27;1798949;65765;READ;2823.58
27;1798949;65765;UPDATE;2856.56
28;1865717;66768;READ;2797.39
28;1865717;66768;UPDATE;2803.75
29;1931518;65801;READ;2862.16
29;1931518;65801;UPDATE;2808.62
30;1996647;65129;READ;2858.48
30;1996647;65129;UPDATE;2876.2
31;2058940;62293;READ;3006.24
31;2058940;62293;UPDATE;2994.34
32;2124711;65771;READ;2843.27
32;2124711;65771;UPDATE;2831.76
33;2190117;65406;READ;2846.63
33;2190117;65406;UPDATE;2864.15
34;2256234;66117;READ;2827.58
34;2256234;66117;UPDATE;2831.64
35;2334335;78101;READ;2389.97
35;2334335;78101;UPDATE;2390.52
36;2412061;77726;READ;2391.56
36;2412061;77726;UPDATE;2412.13
37;2490107;78046;READ;2383.78
37;2490107;78046;UPDATE;2398.9
38;2568594;78487;READ;2362.61
38;2568594;78487;UPDATE;2398.48
39;2646860;78266;READ;2400.84
39;2646860;78266;UPDATE;2370.69
40;2725400;78540;READ;2367.35
40;2725400;78540;UPDATE;2388.28
41;2801324;75924;READ;2456.53
41;2801324;75924;UPDATE;2460.57
42;2879576;78252;READ;2383.09
42;2879576;78252;UPDATE;2391.25
43;2958218;78642;READ;2360.04
43;2958218;78642;UPDATE;2389.22
44;3037098;78880;READ;2358.97
44;3037098;78880;UPDATE;2377.12
45;3115666;78568;READ;2383.25
45;3115666;78568;UPDATE;2370.01
46;3193823;78157;READ;2382.67
46;3193823;78157;UPDATE;2396.43
47;3267873;74050;READ;2519.52
47;3267873;74050;UPDATE;2519.04
48;3344436;76563;READ;2449.44
48;3344436;76563;UPDATE;2433.53
